ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
54,318900012,5.0,110,11,468.0,82.0
54,318900012,5.0,110,11,468.0,82.0
54,422204777,5.0,24,11,468.0,187.0
54,422206421,5.0,28,11,468.0,181.0
54,422208345,5.0,24,11,468.0,188.0
54,422209671,5.0,15,11,468.0,218.0
54,422214148,5.0,17,11,468.0,205.0
54,422216449,5.0,15,11,468.0,257.0
55,253900006,4.0,83,7,1010.0,112.0
55,318900005,5.0,89,7,1010.0,88.0
55,318900011,4.0,113,7,1010.0,78.0
55,318900019,5.0,91,7,1010.0,83.0
55,422212100,4.0,82,7,1010.0,121.0
55,422212870,5.0,5,7,1010.0,432.0
56,243300007,3.0,89,9,643.0,74.0
56,253900003,4.0,80,9,643.0,77.0
56,253900004,4.0,81,9,643.0,79.0
56,318900011,5.0,113,9,643.0,78.0
56,318900012,5.0,110,9,643.0,82.0
56,422203776,3.0,90,9,643.0,75.0
56,422203807,3.0,88,9,643.0,76.0
56,422203809,3.0,90,9,643.0,70.0
56,422211878,4.0,81,9,643.0,80.0
61,308500015,2.0,265,16,171.0,11.0
61,318900012,5.0,110,16,171.0,82.0
61,327500002,3.0,77,16,171.0,113.0
61,365000011,5.0,29,16,171.0,114.0
61,365000013,5.0,27,16,171.0,126.0
61,365000014,5.0,29,16,171.0,127.0
61,365000016,5.0,27,16,171.0,128.0
61,365000018,5.0,27,16,171.0,129.0
61,365000019,5.0,27,16,171.0,130.0
61,422208181,3.0,73,16,171.0,119.0
62,251900024,5.0,10,14,292.0,493.0
62,318900011,5.0,113,14,292.0,78.0
62,318900012,5.0,110,14,292.0,82.0
62,422203300,5.0,32,14,292.0,179.0
62,422203301,5.0,31,14,292.0,171.0
62,422203302,5.0,31,14,292.0,180.0
62,422204787,5.0,5,14,292.0,377.0
62,422204787,5.0,5,14,292.0,377.0
62,422204787,5.0,5,14,292.0,377.0
62,422204904,5.0,50,14,292.0,71.0
62,422204906,5.0,53,14,292.0,65.0
62,422204910,5.0,49,14,292.0,72.0
62,422211183,5.0,49,14,292.0,73.0
62,422220606,5.0,51,14,292.0,68.0
69,100180113,4.0,26,18,135.0,303.0
69,204900013,5.0,163,18,135.0,81.0
69,245500001,4.0,40,18,135.0,103.0
69,245500002,4.0,39,18,135.0,104.0
69,245500009,4.0,39,18,135.0,105.0
69,318900011,4.0,113,18,135.0,78.0
69,318900012,4.0,110,18,135.0,82.0
69,422200306,1.0,57,18,135.0,59.0
69,422202362,3.0,27,18,135.0,164.0
69,422203506,3.0,28,18,135.0,165.0
69,422207826,1.0,54,18,135.0,62.0
69,422216416,5.0,120,18,135.0,85.0
69,422220469,1.0,56,18,135.0,58.0
70,205100136,5.0,295,16,172.0,3.0
70,205100137,5.0,299,16,172.0,4.0
70,205100146,5.0,298,16,172.0,1.0
70,249500021,5.0,71,16,172.0,69.0
70,249500028,5.0,72,16,172.0,66.0
70,318900005,5.0,89,16,172.0,88.0
70,318900011,5.0,113,16,172.0,78.0
70,318900012,5.0,110,16,172.0,82.0
70,318900019,5.0,91,16,172.0,83.0
70,422204259,5.0,307,16,172.0,0.0
70,422207414,5.0,70,16,172.0,67.0
70,422208807,5.0,292,16,172.0,6.0
70,422211446,5.0,298,16,172.0,7.0
70,422211447,5.0,298,16,172.0,2.0
71,253900005,4.0,11,5,1482.0,321.0
71,318900011,5.0,113,5,1482.0,78.0
71,318900012,5.0,110,5,1482.0,82.0
71,422206648,2.0,294,5,1482.0,5.0
71,422216596,5.0,5,5,1482.0,518.0
74,100190059,2.0,110,9,651.0,31.0
74,204900056,2.0,105,9,651.0,32.0
74,204900128,2.0,105,9,651.0,33.0
74,204900159,2.0,107,9,651.0,35.0
74,318900011,5.0,113,9,651.0,78.0
74,318900012,5.0,110,9,651.0,82.0
74,422210784,2.0,109,9,651.0,29.0
74,422210980,2.0,107,9,651.0,30.0
75,100190059,5.0,110,21,90.0,31.0
75,100230056,5.0,213,21,90.0,25.0
75,100230057,5.0,212,21,90.0,23.0
75,100230059,5.0,213,21,90.0,21.0
75,200400003,5.0,213,21,90.0,22.0
75,204900004,5.0,105,21,90.0,34.0
75,204900056,5.0,105,21,90.0,32.0
75,204900128,5.0,105,21,90.0,33.0
75,249500019,5.0,151,21,90.0,36.0
75,249500027,5.0,149,21,90.0,37.0
75,318900011,5.0,113,21,90.0,78.0
75,318900012,5.0,110,21,90.0,82.0
75,345800015,5.0,37,21,90.0,178.0
75,422203145,5.0,148,21,90.0,39.0
75,422210784,5.0,109,21,90.0,29.0
75,422210980,5.0,107,21,90.0,30.0
75,422216594,5.0,216,21,90.0,19.0
76,318900011,3.0,113,6,1256.0,78.0
76,318900012,3.0,110,6,1256.0,82.0
76,422203901,5.0,14,6,1256.0,211.0
76,422204947,5.0,16,6,1256.0,202.0
76,422205181,5.0,15,6,1256.0,212.0
76,422206149,5.0,14,6,1256.0,214.0
77,204100003,5.0,59,13,326.0,94.0
77,205100136,5.0,295,13,326.0,3.0
77,205100137,5.0,299,13,326.0,4.0
77,205100146,5.0,298,13,326.0,1.0
77,318900011,5.0,113,13,326.0,78.0
77,318900012,5.0,110,13,326.0,82.0
77,345800003,4.0,18,13,326.0,327.0
77,422204259,5.0,307,13,326.0,0.0
77,422206648,5.0,294,13,326.0,5.0
77,422207283,5.0,58,13,326.0,96.0
77,422211446,5.0,298,13,326.0,7.0
77,422211447,5.0,298,13,326.0,2.0
78,100230069,5.0,53,5,1483.0,109.0
78,207500001,5.0,53,5,1483.0,102.0
78,207500007,5.0,53,5,1483.0,124.0
78,318900011,5.0,113,5,1483.0,78.0
78,318900012,5.0,110,5,1483.0,82.0
79,248100018,5.0,10,7,1078.0,404.0
79,318900011,5.0,113,7,1078.0,78.0
79,318900012,5.0,110,7,1078.0,82.0
79,422203776,4.0,90,7,1078.0,75.0
79,422203807,4.0,88,7,1078.0,76.0
83,204900013,5.0,163,13,330.0,81.0
83,205100136,5.0,295,13,330.0,3.0
83,205100137,5.0,299,13,330.0,4.0
83,205100146,5.0,298,13,330.0,1.0
83,231100005,5.0,10,13,330.0,316.0
83,318900011,5.0,113,13,330.0,78.0
